Organization;Acronym;Type;Link;Location;Specialization
University of the Basque Country - Quantum Technologies for Information Science;QUTIS;university;https://www.qutisgroup.com/;Spain;
Harish-Chandra Research Institute - Quantum Information and Computation Group;HRI;university;http://www.hri.res.in/~qic/;India;
Indian Institute of Science - Initiative on Quantum Technology;IQT@IISc;university;https://www.iisc.ac.in/initiative-on-quantum-technologies/;India;
Indian Institute of Science Education and Research Bhopal;;university;https://eecs.iiserb.ac.in/research_details.php?id=9;India;
Tata Institute of Fundamental Research - Quantum Measurement and Control Laboratory;TIFR;university;https://www.tifr.res.in/~quantro/;India;
Austrian Academy of Sciences - Institute for Quantum Optics and Quantum Information;IQOQI;university;https://iqoqi.at/en;Austria;
University of Innsbruck - Quantum Information & Computation;;university;https://www.uibk.ac.at/th-physik/qic-group/;Austria;
Vienna Center for Quantum Science and Technology;VCQ;university;https://vcq.quantum.at/;Austria;
EPFL - Center for Quantum Science and Engineering;;university;https://www.epfl.ch/research/domains/quantum-center/;Switzerland;
ETH Zurich - Quantum Center;;university;https://qc.ethz.ch/;Switzerland;
University of Basel;;university;https://www.physik.unibas.ch/news.html;Switzerland;
Amirkabir University of Iran - Quantum Design Automation Lab;QDA;university;http://ceit.aut.ac.ir/QDA/;Iran;
Sharif University - Quantum Information Science;;university;http://physics.sharif.edu/~qc/;Iran;
Chalmers University of Technology - Wallenberg Centre for Quantum Technology;;university;https://www.chalmers.se/en/centres/wacqt/Pages/default.aspx;Sweden;
Stockholm University - Condensed Matter and Quantum Optics Division;KOMKO;university;https://www.fysik.su.se/english/komko-division/research-groups;Sweden;
University of Naples Federico II - UniNA Superconducting Quantum Computing Center;;university;https://agenda.supercomputing-icsc.it/event/5/;Italy;
University of Padova;;university;https://www.dei.unipd.it/en/applied-optics/quantum-information;Italy;
University of Rome "La Sapienza" - Quantum Information Lab;;university;http://www.quantumlab.it/;Italy;
"M. V. Lomonosov" Moscow State University;MSU;university;https://msu.ru/en/;Russia;
Skoltech - Laboratory for Quantum Information Processing;;university;http://deepquantum.ai/;Russia;
University of KwaZulu-Natal - Center for Quantum Technology;;university;https://quantum.ukzn.ac.za/;South Africa;
University of the Witwatersrand, Johannesburg - WitsQ;;university;https://www.wits.ac.za/witsq/;South Africa;
Technical University of Denmark DTU - Center for Quantum Technologies;QuantumDTU;university;https://quantum.dtu.dk/;Denmark;
University of Copenhagen - Niels Bohr Institute;;university;http://www.nbi.ku.dk/english/;Denmark;
Instituto Politecnico Nacional - CITEDI;;university;https://www.citedi.mx/portal/investigacion.php#tecnologia;Mexico;
Aalto University - Quantum Computing and Devices;QCD;university;http://physics.aalto.fi/en/groups/qcd/;Finland;
Sungkyunkwan University - Quantum Information Research Support Center;SKKU-Q-Center;university;https://enzine.skku.edu/news/skku-quantum-information-research-support-center-opens-on-august-28-fri/;South Korea;
Alexandria University;AleQCG;university;http://www.sci.p.alexu.edu.eg/~aleqcg/index.html;Egypt;
Centre for Quantum Technologies (CQT) - National University of Singapore;;university;http://www.quantumlah.org/index.php;Singapore;
Khalifa University of Science and Technology - Quantum Computing Research Group;;university;http://www.kustar.ac.ae/pages/quantum-computing-research-group;UAE;
Hamid Bin Khalifa University - Qatar Center for Quantum Computing;QC2;university;https://www.hbku.edu.qa/en/qc2;Qatar;
University of Gdansk - International Centre for Theory of Quantum Technologies;ICTQT;university;https://ictqt.ug.edu.pl/;Poland;
University of Lisbon/Instituto de Telecomunicacoes - Physics of Information and Quantum Technologies Group;;university;http://www.phys-info.org/;Portugal;
